,GEO,year,Labour force,Employment,Population,Part-time employment ,Full-time employment
171,New Brunswick,2003,380083.3333333333,341491.6666666667,603383.3333333334,53175.0,288308.3333333333
172,New Brunswick,2004,386083.3333333333,348441.6666666667,605208.3333333334,55791.666666666664,292641.6666666667
173,New Brunswick,2005,383816.6666666667,346683.3333333333,606358.3333333334,57266.666666666664,289416.6666666667
174,New Brunswick,2006,385150.0,349783.3333333333,606575.0,57133.333333333336,292641.6666666667
175,New Brunswick,2007,388000.0,357908.3333333333,607808.3333333334,57850.0,300058.3333333333
176,New Brunswick,2008,396125.0,361866.6666666667,610425.0,57450.0,304400.0
177,New Brunswick,2009,397433.3333333333,362225.0,614016.6666666666,58566.666666666664,303666.6666666667
178,New Brunswick,2010,397208.3333333333,359650.0,617583.3333333334,55683.333333333336,303966.6666666667
179,New Brunswick,2011,395083.3333333333,357000.0,621000.0,59033.333333333336,297975.0
180,New Brunswick,2012,397016.6666666667,355250.0,623658.3333333334,55833.333333333336,299408.3333333333
181,New Brunswick,2013,399241.6666666667,357341.6666666667,624925.0,57400.0,299933.3333333333
182,New Brunswick,2014,396941.6666666667,357258.3333333333,626100.0,56983.333333333336,300275.0
183,New Brunswick,2015,394308.3333333333,355075.0,626950.0,54775.0,300316.6666666667
184,New Brunswick,2016,396333.3333333333,357691.6666666667,630050.0,57508.333333333336,300191.6666666667
185,New Brunswick,2017,392933.3333333333,360150.0,633141.6666666666,53791.666666666664,306366.6666666667
186,New Brunswick,2018,393583.3333333333,361600.0,636908.3333333334,53666.666666666664,307916.6666666667
187,New Brunswick,2019,395925.0,363425.0,642666.6666666666,55683.333333333336,307741.6666666667
188,New Brunswick,2020,393233.3333333333,352541.6666666667,646925.0,51733.333333333336,300800.0
189,New Brunswick,2021,400425.0,363833.3333333333,650758.3333333334,56166.666666666664,307683.3333333333
190,New Brunswick,2022,402666.6666666667,373641.6666666667,664125.0,53025.0,320625.0
191,New Brunswick,2023,409400.0,378500.0,674300.0,57500.0,321000.0
192,Newfoundland and Labrador,1976,183816.66666666666,159225.0,370666.6666666667,12208.333333333334,147008.33333333334
193,Newfoundland and Labrador,1977,190475.0,160900.0,376250.0,13058.333333333334,147833.33333333334
194,Newfoundland and Labrador,1978,197700.0,166150.0,381983.3333333333,14175.0,151966.66666666666
